mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1228392,Ba2CePbO6,10,Ba2 Ce1 Pb1 O6,6.2116604183149775,6.2116604183149775,6.211660395818254,60.337167802016346,60.337167802016346,60.337168823041274,trig,R-3,0.0001419,-7.191365368,-2.8738340829999993,0.0,True,6.981437634787639,2.3054,False,170.76873246930134,,
mp-1516858,Ba2CePrO6,10,Ba2 Ce1 Pr1 O6,6.40171135454827,6.40171135454827,6.40171135454827,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.999999899999999,-7.652713186,-3.2268994621666662,0.10900434750000101,False,5.833191811907629,0.0,False,185.5125381794281,,
mp-1517039,Ba2CePrO6,40,Ba2 Ce1 Pr1 O6,9.0159161,9.0159161,9.0159161,90.0,90.0,90.0,cubic,Pn-3,3.999965,-7.69752613725,-3.271712413416666,0.064191396250001,False,5.90622423694712,0.0,False,732.8744560323609,,
mp-21879,Ba2CePtO6,10,Ba2 Ce1 Pt1 O6,6.019953581631673,6.019953581631673,6.019953581631673,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.000136499999999,-7.353921987,-2.800542076999999,0.0,True,7.597965773437191,1.420399999999999,False,154.26394370884378,"{'voigt': 137.231, 'reuss': 137.231, 'vrh': 137.231}","{'voigt': 64.643, 'reuss': 59.971, 'vrh': 62.307}"
mp-1205973,Ba2CePuO6,10,Ba2 Ce1 Pu1 O6,6.283400355098344,6.283400355098344,6.283400355098344,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,4.0004589,-8.861322648,-3.441262821874998,0.025686502000009003,False,7.144839164841098,0.219199999999999,False,175.41599809894615,,
mp-1521065,Ba2CeSnO6,40,Ba2 Ce1 Sn1 O6,8.65851522,8.65851522,8.65851522,90.0,90.0,90.0,cubic,Pn-3,0.0,-7.4618468225,-3.114623059,0.001066057499946,False,6.441073680159349,2.113699999999999,False,649.1278973705942,,
mp-1521094,Ba2CeSnO6,10,Ba2 Ce1 Sn1 O6,6.122822118513672,6.122822118513672,6.122822118513672,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.0,-7.46291288,-3.1156891165,0.0,True,6.440040825251537,2.144399999999999,False,162.30800115493082,,
mp-1078874,Ba2CeTaO6,10,Ba2 Ce1 Ta1 O6,6.109274423499079,6.109274423499079,6.156463436380419,60.037523775672625,60.037523775672625,60.03865995707826,mono,C2/m,0.9980479,-8.617054019,-3.484094686733333,0.0,True,7.063294363905758,0.0,False,162.61796913557265,,
mp-1517324,Ba2CeVO6,10,Ba2 Ce1 V1 O6,5.97279104425077,5.97279104425077,5.97279104425077,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,1.0000001,-8.02569922,-3.171042035,0.078557424366682,False,6.190741400725244,0.0,False,150.66659251161354,,
mp-1517711,Ba2CeWO6,10,Ba2 Ce1 W1 O6,6.101698335801624,6.101698335801624,6.101698335801624,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,2.0,-8.276184904,-3.034105302999999,0.086002601942315,False,7.180433725230898,0.0,False,160.63389862613013,,
